,beta,score,forwardPE,currentRatio,profitMargin,debtToEquity,returnOnEquity,longBusinessSummary
SVT,0.853128,-1,0,2,0,2,0,"Servotronics, Inc. designs, manufactures, and markets control components and consumer products in the United States and internationally. It operates in two segments, Advanced Technology Group (ATG) and Consumer Products Group (CPG). The ATG segment provides servo-control components to the commercial aerospace, aircraft, and government related industries; and medical and industrial markets. This segment's principal components include torque motors, electromagnetic actuators, hydraulic and pneumatic valves, and related devices that convert an electrical current into a mechanical force or movement, and other products. It also offers metallic seals of various cross-sectional configurations to close tolerances from standard and special alloy steels. This segment markets and sells its products to the United States Government, government prime contractors, government subcontractors, commercial manufacturers, and end-users. The CPG segment provides cutlery products, including steak, carving, bread, butcher, and paring knives for household use, as well as for use in restaurants, institutions, and the private industry; fixed and folding knives for hunting, fishing, and camping; and machetes, bayonets, axes, strap cutters, and other tools primarily for military and rescue/first-responder use, as well as for commercial markets. It also offers various specialty tools, putty knives, linoleum sheet cutters, field knives, scalpels, and micro-spatulas; and plastic and metal fabrication, as well as engineering, design, and OEM/white-label manufacturing services to customers in the consumer and commercial industries. This segment markets its products through its sales resources and independent manufacturers' representatives to big box, hardware, supermarket, variety, department, discount, gift, drug, outdoor, and sporting stores, as well as through electronic commerce. The company was incorporated in 1959 and is headquartered in Elma, New York."
SRE,0.652192,-1,2,0,0,2,0,"Sempra operates as an energy-services holding company in the United States and internationally. The company's San Diego Gas & Electric Company segment provides electric services; and supplies natural gas. It offers electric services to approximately 3.6 million population and natural gas services to approximately 3.3 million population that covers 4,100 square miles. Its Southern California Gas Company segment owns and operates a natural gas distribution, transmission, and storage system that supplies natural gas to a population of approximately 22 million covering an area of 24,000 square miles. The company's Sempra Texas Utilities segment engages in the regulated transmission and distribution of electricity serving 3.8 million homes and businesses, and operation of 140,000 miles of transmission and distribution lines. Its transmission system includes 18,249 circuit miles of transmission lines, a total of 1,174 transmission and distribution substations, and interconnection to 130 third-party generation facilities totaling 45,403 megawatts. The company was formerly known as Sempra Energy and changed its name to Sempra in July 2021. Sempra was founded in 1998 and is headquartered in San Diego, California."
532898,-1.0,-1,-1,-1,-1,-1,-1,-1
PCG,1.222647,-1,2,0,0,0,0,"PG&E Corporation, through its subsidiary, Pacific Gas and Electric Company, engages in the sale and delivery of electricity and natural gas to customers in northern and central California, the United States. It generates electricity using nuclear, hydroelectric, fossil fuel-fired, fuel cell, and photovoltaic sources. As of December 31, 2021, the company owns and operates approximately 18,000 circuit miles of interconnected transmission lines; 33 electric transmission substations, approximately 108,000 circuit miles of distribution lines, 67 transmission switching substations, and 753 distribution substations; and natural gas transmission, storage, and distribution system consisting of approximately 43,800 miles of distribution pipelines, approximately 6,200 miles of backbone and local transmission pipelines, and various storage facilities. It serves residential, commercial, industrial, and agricultural customers, as well as natural gas-fired electric generation facilities. The company was incorporated in 1905 and is headquartered in San Francisco, California."
532555,-1.0,-1,-1,-1,-1,-1,-1,-1
HNP,-1.0,-1,-1,-1,-1,-1,-1,-1
AWK,0.436781,-1,0,0,2,1,1,"American Water Works Company, Inc., through its subsidiaries, provides water and wastewater services in the United States. It offers water and wastewater services to approximately 1,700 communities in 14 states serving approximately 3.4 million active customers. The company serves residential customers; commercial customers, including food and beverage providers, commercial property developers and proprietors, and energy suppliers; fire service and private fire customers; industrial customers, such as large-scale manufacturers, mining, and production operations; public authorities comprising government buildings and other public sector facilities, such as schools and universities; and other utilities and community water and wastewater systems. It also provides water and wastewater services on various military installations; and undertakes contracts with municipal customers, primarily to operate and manage water and wastewater facilities, as well as offers other related services. In addition, the company operates approximately 80 surface water treatment plants; 480 groundwater treatment plants; 160 wastewater treatment plants; 52,500 miles of transmission, distribution, and collection mains and pipes; 1,100 groundwater wells; 1,700 water and wastewater pumping stations; 1,300 treated water storage facilities; and 76 dams. It serves approximately 14 million people with drinking water, wastewater, and other related services in 24 states. American Water Works Company, Inc. was founded in 1886 and is headquartered in Camden, New Jersey."
517300,-1.0,-1,-1,-1,-1,-1,-1,-1
532155,-1.0,-1,-1,-1,-1,-1,-1,-1
FTS,0.147439,-1,2,0,1,1,0,"Fortis Inc. operates as an electric and gas utility company in Canada, the United States, and the Caribbean countries. It generates, transmits, and distributes electricity to approximately 438,000 retail customers in southeastern Arizona; and 100,000 retail customers in Arizona's Mohave and Santa Cruz counties with an aggregate capacity of 3,485 megawatts (MW), including 53 MW of solar capacity and 252 MV of wind capacity. The company also sells wholesale electricity to other entities in the western United States; owns gas-fired and hydroelectric generating capacity totaling 65 MW; and distributes natural gas to approximately 1,065,000 residential, commercial, and industrial customers in British Columbia, Canada. In addition, it owns and operates the electricity distribution system that serves approximately 577,000 customers in southern and central Alberta; owns 4 hydroelectric generating facilities with a combined capacity of 225 MW; and provides operation, maintenance, and management services to five hydroelectric generating facilities. Further, the company distributes electricity in the island portion of Newfoundland and Labrador with an installed generating capacity of 143 MW; and on Prince Edward Island with a generating capacity of 130 MW. Additionally, it provides integrated electric utility service to approximately 68,000 customers in Ontario; approximately 272,000 customers in Newfoundland and Labrador; approximately 32,000 customers on Grand Cayman, Cayman Islands; and approximately 16,000 customers on certain islands in Turks and Caicos. The company also holds long-term contracted generation assets in Belize consisting of 3 hydroelectric generating facilities with a combined capacity of 51 MW; and the Aitken Creek natural gas storage facility. It also owns and operates approximately 90,200 circuit Kilometers (km) of distribution lines; and approximately 50,500 km of natural gas pipelines. Fortis Inc. was founded in 1885 and is headquartered in St. John's, Canada."
FE,0.420604,-1,2,0,0,1,1,"FirstEnergy Corp., through its subsidiaries, generates, transmits, and distributes electricity in the United States. It operates through Regulated Distribution and Regulated Transmission segments. The company owns and operates coal-fired, nuclear, hydroelectric, natural gas, wind, and solar power generating facilities. It operates 24,074 circuit miles of overhead and underground transmission lines; and electric distribution systems, including 273,295 miles of overhead pole line and underground conduit carrying primary, secondary, and street lighting circuits. The company serves approximately 6 million customers in Ohio, Pennsylvania, West Virginia, Maryland, New Jersey, and New York. FirstEnergy Corp. was incorporated in 1996 and is headquartered in Akron, Ohio."
EQTL3,-1.0,-1,-1,-1,-1,-1,-1,-1
EGIE3,-1.0,-1,-1,-1,-1,-1,-1,-1
D,0.426564,-1,2,0,2,1,0,"Dominion Energy, Inc. produces and distributes energy in the United States. The company operates through four segments: Dominion Energy Virginia, Gas Distribution, Dominion Energy South Carolina, and Contracted Assets. The Dominion Energy Virginia segment generates, transmits, and distributes regulated electricity to approximately 2.7 million residential, commercial, industrial, and governmental customers in Virginia and North Carolina. The Gas Distribution segment is involved in the regulated natural gas sales, transportation, gathering, storage, and distribution operations in Ohio, West Virginia, North Carolina, Utah, southwestern Wyoming, and southeastern Idaho that serve approximately 3.1 million residential, commercial and industrial customers. It also has nonregulated renewable natural gas facilities in operation. The Dominion Energy South Carolina segment generates, transmits, and distributes electricity to approximately 772,000 customers in the central, southern, and southwestern portions of South Carolina; and distributes natural gas to approximately 419,000 residential, commercial, and industrial customers in South Carolina. The Contracted Assets segment is involved in the nonregulated long-term contracted renewable electric generation and solar generation facility development operations; and gas transportation, LNG import, and storage operations, as well as in the liquefaction facility. As of December 31, 2021, the company's portfolio of assets included approximately 30.2 gigawatt of electric generating capacity; 10,700 miles of electric transmission lines; 78,000 miles of electric distribution lines; and 95,700 miles of gas distribution mains and related service facilities. The company was formerly known as Dominion Resources, Inc. Dominion Energy, Inc. was incorporated in 1983 and is headquartered in Richmond, Virginia."
CPFE3,-1.0,-1,-1,-1,-1,-1,-1,-1
SBSP3,-1.0,-1,-1,-1,-1,-1,-1,-1
600900,-1.0,-1,-1,-1,-1,-1,-1,-1
00384,-1.0,-1,-1,-1,-1,-1,-1,-1
ELET3,-1.0,-1,-1,-1,-1,-1,-1,-1
CU,-1.0,-1,-1,-1,-1,-1,-1,-1
UU.,-1.0,-1,-1,-1,-1,-1,-1,-1
