,beta,score,forwardPE,currentRatio,profitMargin,debtToEquity,returnOnEquity,longBusinessSummary
CTSH,1.106002,7,2,2,0,2,1,"Cognizant Technology Solutions Corporation, a professional services company, provides consulting and technology, and outsourcing services in North America, Europe, and internationally. It operates through four segments: Financial Services; Healthcare; Products and Resources; and Communications, Media and Technology. The company offers customer experience enhancement, robotic process automation, analytics, and AI services in areas, such as digital lending, fraud detection, and next generation payments; the shift towards consumerism, outcome-based contracting, digital health, delivering integrated seamless, omni-channel, and patient-centered experience; and services that drive operational improvements in areas, such as clinical development, pharmacovigilance, and manufacturing, as well as claims processing, enrollment, membership, and billing to healthcare providers and payers, and life sciences companies, including pharmaceutical, biotech, and medical device companies. It also provides solution to manufacturers, retailers and travel and hospitality companies, as well as companies providing logistics, energy and utility services; and digital content, the creation of personalized user experience, and acceleration of digital engineering services to information, media and entertainment, and communications and technology companies. The company was founded in 1994 and is headquartered in Teaneck, New Jersey."
TSM,1.102596,6,2,-1,2,2,-1,"Taiwan Semiconductor Manufacturing Company Limited manufactures, packages, tests, and sells integrated circuits and other semiconductor devices in Taiwan, China, Europe, the Middle East, Africa, Japan, the United States, and internationally. It provides complementary metal oxide silicon wafer fabrication processes to manufacture logic, mixed-signal, radio frequency, and embedded memory semiconductors. The company also offers customer support, account management, and engineering services, as well as manufactures masks. Its products are used in mobile devices, high performance computing, automotive electronics, and internet of things markets. The company was incorporated in 1987 and is headquartered in Hsinchu City, Taiwan."
ORCL,0.837803,6,2,1,1,-1,2,"Oracle Corporation offers products and services that address enterprise information technology environments worldwide. Its Oracle cloud software as a service offering include various cloud software applications, including Oracle Fusion cloud enterprise resource planning (ERP), Oracle Fusion cloud enterprise performance management, Oracle Fusion cloud supply chain and manufacturing management, Oracle Fusion cloud human capital management, Oracle Advertising, and NetSuite applications suite, as well as Oracle Fusion Sales, Service, and Marketing. The company also offers cloud-based industry solutions for various industries; Oracle application licenses; and Oracle license support services. In addition, it provides cloud and license business' infrastructure technologies, such as the Oracle Database, an enterprise database; Java, a software development language; and middleware, including development tools and others. The company's cloud and license business' infrastructure technologies also comprise cloud-based compute, storage, and networking capabilities; and Oracle autonomous database, MySQL HeatWave, Internet-of-Things, digital assistant, and blockchain. Further, it provides hardware products and other hardware-related software offerings, including Oracle engineered systems, enterprise servers, storage solutions, industry-specific hardware, virtualization software, operating systems, management software, and related hardware services; and consulting and customer services. The company markets and sells its cloud, license, hardware, support, and services offerings directly to businesses in various industries, government agencies, and educational institutions, as well as through indirect channels. Oracle Corporation was founded in 1977 and is headquartered in Austin, Texas."
FTNT,1.180928,6,2,1,1,0,2,"Fortinet, Inc. provides broad, integrated, and automated cybersecurity solutions in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. It offers FortiGate hardware and software licenses that provide various security and networking functions, including firewall, intrusion prevention, anti-malware, virtual private network, application control, web filtering, anti-spam, and wide area network acceleration. The company also provides FortiSwitch product family that offers secure switching solutions for connecting customers their end devices; FortiAP product family, which provides secure wireless networking solutions; FortiExtender, a hardware appliance; FortiAnalyzer product family, which offers centralized network logging, analyzing, and reporting solutions; and FortiManager product family that provides central and scalable management solution for its FortiGate products. It offers FortiWeb product family provides web application firewall solutions; FortiMail product family that secure email gateway solutions; FortiSandbox technology that delivers proactive detection and mitigation services; FortiClient that provides endpoint protection with pattern-based anti-malware, behavior-based exploit protection, web-filtering, and an application firewall; FortiToken and FortiAuthenticator product families for multi-factor authentication to safeguard systems, assets, and data; and FortiEDR/XDR, an endpoint protection solution that provides both comprehensive machine-learning anti-malware execution and real-time post-infection protection. It provides security subscription, technical support, professional, and training services. It sells its security solutions to channel partners and directly to various customers in telecommunications, technology, government, financial services, education, retail, manufacturing, and healthcare industries. It has strategic alliance with Linksys. Fortinet, Inc. was incorporated in 2000 and is headquartered in Sunnyvale, California."
DXC,2.106002,5,2,1,0,1,1,"DXC Technology Company, together with its subsidiaries, provides information technology services and solutions primarily in North America, Europe, Asia, and Australia. It operates in two segments, Global Business Services (GBS) and Global Infrastructure Services (GIS). The GBS segment offers a portfolio of analytics services and extensive partner ecosystem that help its customers to gain rapid insights, automate operations, and accelerate their digital transformation journeys; and software engineering, consulting, and data analytics solutions that enable businesses to run and manage their mission-critical functions, transform their operations, and develop new ways of doing business. It also uses various technologies and methods to accelerate the creation, modernization, delivery, and maintenance of secure applications allowing customers to innovate faster while reducing risk, time to market, and total cost of ownership. In addition, this segment offers business process services, which include integration and optimization of front and back office processes, and agile process automation. The GIS segment adapts legacy apps to cloud, migrate the right workloads, and securely manage their multi-cloud environments; and offers security solutions help predict attacks, proactively respond to threats, and ensure compliance, as well as to protect data, applications, and infrastructure. It also provides IT outsourcing services to help customers securely and cost-effectively run mission-critical systems and IT infrastructure. In addition, this segment offers workplace services to fit its customer's employee, business, and IT needs from intelligent collaboration; and modern device management, digital support services, and mobility services. DXC Technology Company is headquartered in Ashburn, Virginia."
DBX,0.829916,4,2,1,1,-1,-1,"Dropbox, Inc. provides a content collaboration platform worldwide. Its platform allows individuals, families, teams, and organizations to collaborate and sign up for free through its website or app, as well as upgrade to a paid subscription plan for premium features. As of December 31, 2021, the company had approximately 700 million registered users. It serves customers in professional services, technology, media, education, industrial, consumer and retail, and financial services industries. The company was formerly known as Evenflow, Inc. and changed its name to Dropbox, Inc. in October 2009. Dropbox, Inc. was incorporated in 2007 and is headquartered in San Francisco, California."
MCRO,,0,-1,-1,-1,-1,-1,"The fund is a ""fund of funds"" which means it invests, under normal circumstances, at least 80% of its net assets, plus the amount of any borrowings for investment purposes, in the investments included in its underlying index, which includes underlying funds. The underlying index consists of a number of components (""underlying index Components"") selected in accordance with IndexIQ's rules-based methodology of such underlying index."
UTSI,0.957854,-1,0,2,0,2,0,"UTStarcom Holdings Corp. operates as a telecom infrastructure provider to develop technology for bandwidth from cloud-based services, mobile, streaming, and other applications in China, India, Japan, Taiwan, and internationally. The company's products include packet transport network, packet aggregation network, multi-services access network, fiber to the X, carrier Wi-Fi solutions, and software defined network controller products. It serves telecommunications and cable service providers. The company was founded in 1991 and is based in Hangzhou, the People's Republic of China."
507685,-1.0,-1,-1,-1,-1,-1,-1,-1
V,0.896977,-1,0,1,2,2,2,"Visa Inc. operates as a payments technology company worldwide. The company facilitates digital payments among consumers, merchants, financial institutions, businesses, strategic partners, and government entities. It operates VisaNet, a transaction processing network that enables authorization, clearing, and settlement of payment transactions. In addition, the company offers card products, platforms, and value-added services. It provides its services under the Visa, Visa Electron, Interlink, VPAY, and PLUS brands. Visa Inc. has a strategic agreement with Ooredoo to provide an enhanced payment experience for Visa cardholders and Ooredoo customers in Qatar. Visa Inc. was founded in 1958 and is headquartered in San Francisco, California."
532755,-1.0,-1,-1,-1,-1,-1,-1,-1
SGE,-1.0,-1,-1,-1,-1,-1,-1,-1
CRM,1.075776,-1,0,1,0,2,0,"Salesforce, Inc. provides customer relationship management technology that brings companies and customers together worldwide. Its Customer 360 platform empowers its customers to work together to deliver connected experiences for their customers. The company's service offerings include Sales to store data, monitor leads and progress, forecast opportunities, gain insights through analytics and relationship intelligence, and deliver quotes, contracts, and invoices; and Service that enables companies to deliver trusted and highly personalized customer service and support at scale. Its service offerings also comprise flexible platform that enables companies of various sizes, locations, and industries to build business apps to bring them closer to their customers with drag-and-drop tools; online learning platform that allows anyone to learn in-demand Salesforce skills; and Slack, a system of engagement. In addition, the company's service offerings include Marketing offering that enables companies to plan, personalize, and optimize one-to-one customer marketing journeys; and Commerce offering, which empowers brands to unify the customer experience across mobile, web, social, and store commerce points. Further, its service offerings comprise Tableau, an end-to-end analytics solution serving various enterprise use cases; and MuleSoft, an integration offering that allows its customers to unlock data across their enterprise. The company provides its service offering for customers in financial services, healthcare and life sciences, manufacturing, and other industries. It also offers professional services; and in-person and online courses to certify its customers and partners on architecting, administering, deploying, and developing its service offerings. The company provides its services through direct sales; and consulting firms, systems integrators, and other partners. Salesforce, Inc. was incorporated in 1999 and is headquartered in San Francisco, California."
SHOP,1.834397,-1,2,2,0,2,0,"Shopify Inc., a commerce company, provides a commerce platform and services in Canada, the United States, Europe, the Middle East, Africa, the Asia Pacific, and Latin America. The company's platform enables merchants to displays, manages, markets, and sells its products through various sales channels, including web and mobile storefronts, physical retail locations, pop-up shops, social media storefronts, native mobile apps, buy buttons, and marketplaces; and enables to manage products and inventory, process orders and payments, fulfill and ship orders, new buyers and build customer relationships, source products, leverage analytics and reporting, manage cash, payments and transactions, and access financing. It also sells custom themes and apps, and registration of domain names; and merchant solutions, which include accepting payments, shipping and fulfillment, and securing working capital. The company was formerly known as Jaded Pixel Technologies Inc. and changed its name to Shopify Inc. in November 2011. Shopify Inc. was incorporated in 2004 and is headquartered in Ottawa, Canada."
SNOW,,-1,0,2,0,2,0,"Snowflake Inc. provides a cloud-based data platform in the United States and internationally. The company's platform offers Data Cloud, which enables customers to consolidate data into a single source of truth to drive meaningful business insights, build data-driven applications, and share data. Its platform is used by various organizations of sizes in a range of industries. The company was formerly known as Snowflake Computing, Inc. and changed its name to Snowflake Inc. in April 2019. Snowflake Inc. was incorporated in 2012 and is based in Bozeman, Montana."
500304,-1.0,-1,-1,-1,-1,-1,-1,-1
532540,-1.0,-1,-1,-1,-1,-1,-1,-1
SAP,1.001916,-1,2,0,1,2,0,"SAP SE, together with its subsidiaries, operates as an enterprise application software company worldwide. The company operates through three segments: Applications, Technology & Support; Qualtrics; and Services. It offers SAP S/4HANA, an ERP suite with intelligent technologies, such as artificial intelligence, machine learning, and advanced analytics; SAP SuccessFactors Human Experience Management provides cloud-based solutions, such as a human resources management system for core HR and payroll, talent management, employee experience management, and people analytics; and intelligent spend management solutions, including products branded under the SAP Ariba, SAP Concur, and SAP Fieldglass names. The company also provides SAP customer experience solutions; SAP Business Technology platform that enables customers and partners to extend and customize SAP applications in a cloud-native way; and SAP Business Network that enable companies to extend their ecosystem, react to supply chain disruptions, discover new trading partners, and find new opportunities. In addition, it offers business process intelligence solutions aim to help customers analyze their operations, understand their process bottlenecks, and improve their business process landscape; Experience solutions; SAP's industry cloud provides modular solutions addressing industry-specific functions; and SAP's ecosystem build, sell, service, and run SAP solutions and technology, as well as sustainable business solutions, services, and partnerships solutions. SAP SE was founded in 1972 and is headquartered in Walldorf, Germany."
MA,1.032354,-1,0,1,2,0,2,"Mastercard Incorporated, a technology company, provides transaction processing and other payment-related products and services in the United States and internationally. It facilitates the processing of payment transactions, including authorization, clearing, and settlement, as well as delivers other payment-related products and services. The company offers integrated products and value-added services for account holders, merchants, financial institutions, businesses, governments, and other organizations, such as programs that enable issuers to provide consumers with credits to defer payments; prepaid programs and management services; commercial credit and debit payment products and solutions; and payment products and solutions that allow its customers to access funds in deposit and other accounts. It also provides value-added products and services comprising cyber and intelligence solutions for parties to transact, as well as proprietary insights, drawing on principled use of consumer, and merchant data services. In addition, the company offers analytics, test and learn, consulting, managed services, loyalty, processing, and payment gateway solutions for e-commerce merchants. Further, it provides open banking and digital identity platforms services. The company offers payment solutions and services under the MasterCard, Maestro, and Cirrus. Mastercard Incorporated was founded in 1966 and is headquartered in Purchase, New York."
532819,-1.0,-1,-1,-1,-1,-1,-1,-1
ENGH,2.277588,-1,-1,0,0,-1,-1,"Energy Harbor Corp. operates as an independent power producer and integrated retail energy provider. The company operates a fleet of nuclear and fossil fuel generators in Ohio, Pennsylvania, and West Virginia. It serves approximately one million residential, commercial, and industrial customers. The company was incorporated in 2019 and is headquartered in Akron, Ohio."
AAPL,1.19455,-1,0,0,2,0,2,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services. In addition, the company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; AirPods Max, an over-ear wireless headphone; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, HomePod, and iPod touch. Further, it provides AppleCare support services; cloud services store services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. Additionally, the company offers various services, such as Apple Arcade, a game subscription service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was incorporated in 1977 and is headquartered in Cupertino, California."
532493,-1.0,-1,-1,-1,-1,-1,-1,-1
BNFT,1.649212,-1,-1,1,0,-1,0,"Benefitfocus, Inc. provides cloud-based benefits management technology solutions for employers and health plans in the United States. Its products for employers comprise Benefitplace, a cloud-based benefits management portal that streamlines online enrollment, employee communication, and benefit administration; Health Insights, a data analytics solution; ACA Management and Reporting, a solution for employers to manage ACA compliance; Billing & Payments, an application that synchronizes enrollment and billing information to streamline the monthly billing process, automate adjustments, and enhance accuracy of payments; and COBRA Administration, a solution that simplifies management of Consolidated Omnibus Budget Reconciliation Act, benefits. The company's products for health plans include Enrollment that provides platform for carriers to automate enrollment across all segments of their commercial group business; Billing & Payments, an electronic invoice presentment and payment solution; Exchange, a solution that bridges the integration gap between health plan and employer systems; and Quoting that gives health plans and brokers tools to organize and proactively manage accounts, track leads, generate quotes, and create proposals for multiple products. Its products for brokers consist of Health Insights that support strategic decisions for their clients with on-demand health plan analytics; Benefit Catalog, which allows brokers to offer products to their clients; and benefit catalog consultative support for brokers through benefit advisors. The company also provides implementation services to its customers in order to help ensure seamless deployment and effective utilization of its solutions; and employers with expanded support services. The company was incorporated in 2000 and is headquartered in Charleston, South Carolina."
BILL,2.281818,-1,0,1,0,2,0,"Bill.com Holdings, Inc. provides cloud-based software that simplifies, digitizes, and automates back-office financial operations for small and midsize businesses worldwide. It offers artificial intelligence enabled financial software platform that creates seamless connections among users, suppliers, and the clients. The company provides software-as-a-service, cloud-based payments and spend management products, which allow users to automate accounts payable and accounts receivable transactions, as well as enable users to connect with their suppliers and/or customers to do business, eliminate expense reports, manage cash flows, and improve office efficiency. It also offers onboarding implementation support, and ongoing support and training services. The company also serves accounting firms and financial institutions. Bill.com Holdings, Inc. was founded in 2006 and is headquartered in San Jose, California."
CIEL3,-1.0,-1,-1,-1,-1,-1,-1,-1
CSU,-1.0,-1,-1,-1,-1,-1,-1,-1
532927,-1.0,-1,-1,-1,-1,-1,-1,-1
FICO,1.20051,-1,0,1,2,-1,-1,"Fair Isaac Corporation develops analytic, software, and data management products and services that enable businesses to automate, enhance, and connect decisions in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. It operates through two segments, Scores and Software. The Software segment offers pre-configured decision management solution designed for various business problems or processes, such as marketing, account origination, customer management, customer engagement, fraud detection, financial crimes compliance, collection, and marketing, as well as associated professional services. This segment also provides FICO Platform, a modular software offering designed to support advanced analytic and decision use cases, as well as stand-alone analytic and decisioning software that can be configured by customers to address a wide range of business use cases. The Scores segment provides business-to-business scoring solutions and services for consumers that give clients access to analytics to be integrated into their transaction streams and decision-making processes, as well as business-to-consumer scoring solutions comprising myFICO.com subscription offerings. Fair Isaac Corporation markets its products and services primarily through its direct sales organization and indirect channels, as well as online. The company was formerly known as Fair Isaac & Company, Inc. and changed its name to Fair Isaac Corporation in July 1992. Fair Isaac Corporation was founded in 1956 and is headquartered in Bozeman, Montana."
MSFT,0.932311,-1,0,1,2,2,2,"Microsoft Corporation develops, licenses, and supports software, services, devices, and solutions worldwide. The company operates in three segments: Productivity and Business Processes, Intelligent Cloud, and More Personal Computing. The Productivity and Business Processes segment offers Office, Exchange, SharePoint, Microsoft Teams, Office 365 Security and Compliance, Microsoft Viva, and Skype for Business; Skype, Outlook.com, OneDrive, and LinkedIn; and Dynamics 365, a set of cloud-based and on-premises business solutions for organizations and enterprise divisions. The Intelligent Cloud segment licenses SQL, Windows Servers, Visual Studio, System Center, and related Client Access Licenses; GitHub that provides a collaboration platform and code hosting service for developers; Nuance provides healthcare and enterprise AI solutions; and Azure, a cloud platform. It also offers enterprise support, Microsoft consulting, and nuance professional services to assist customers in developing, deploying, and managing Microsoft server and desktop solutions; and training and certification on Microsoft products. The More Personal Computing segment provides Windows original equipment manufacturer (OEM) licensing and other non-volume licensing of the Windows operating system; Windows Commercial, such as volume licensing of the Windows operating system, Windows cloud services, and other Windows commercial offerings; patent licensing; and Windows Internet of Things. It also offers Surface, PC accessories, PCs, tablets, gaming and entertainment consoles, and other devices; Gaming, including Xbox hardware, and Xbox content and services; video games and third-party video game royalties; and Search, including Bing and Microsoft advertising. The company sells its products through OEMs, distributors, and resellers; and directly through digital marketplaces, online stores, and retail stores. Microsoft Corporation was founded in 1975 and is headquartered in Redmond, Washington."
601138,-1.0,-1,-1,-1,-1,-1,-1,-1
002415,-1.0,-1,-1,-1,-1,-1,-1,-1
532281,-1.0,-1,-1,-1,-1,-1,-1,-1
500209,-1.0,-1,-1,-1,-1,-1,-1,-1
MANH,1.833546,-1,0,1,1,2,2,"Manhattan Associates, Inc. develops, sells, deploys, services, and maintains software solutions to manage supply chains, inventory, and omni-channel operations. It offers Manhattan SCALE, a portfolio of logistics execution solutions that provide trading partner management, yard management, optimization, warehouse management, and transportation execution services; and Manhattan Active, a set of enterprise and store omni-channel solutions. The company also provides inventory optimization, planning, and allocation solutions; maintenance services comprising customer support services and software enhancements; professional services, such as solutions planning and implementation, and related consulting services; and training and change management services. In addition, it resells computer hardware, radio frequency terminal networks, radio frequency identification chip readers, bar code printers and scanners, and other peripherals. The company offers products through direct sales personnel, as well as through partnership agreements with various organizations. It serves grocery, food and beverage, manufacturing, medical and pharmaceutical, retail, third-party logistics, and wholesale industries. The company operates in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. Manhattan Associates, Inc. was founded in 1990 and is headquartered in Atlanta, Georgia."
